"Leeloo", "Leeloo"
"Hello $1", "Pozdrav $1"
"$1 packs", "Paketi: $1"
"$1 cards", "Kartice $1"
"ACTIVE", "AKTIVNO"
"This is a test voice!", "Ovo je testni glas!"
"New Profile", "Novi profil"
"Create a new application user profile.", "Stvorite novi korisnički profil aplikacije."
"Profile Name", "Ime profila"
"You can give your child's name", "Možete unijeti ime svog djeteta"
"Profile Avatar", "Avatar profila"
"Choose an avatar that looks like the user of this profile", "Odaberite avatar koji izgleda kao korisnik ovog profila"
"Assistive Cards Packs", "Paketi pomoćnih kartica"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Postavit ćemo zadane kartice za ovaj profil. Pakete pomoćnih kartica možete dodati ili ukloniti nakon stvaranja"
"Change Avatar", "Promijeni avatar"
"Choose an avatar to symbolize this profile", "Odaberite avatar koji će simbolizirati ovaj profil"
"My Account", "Moj račun"
"Make changes to the owner of this account.", "Napravite promjene za vlasnika ovog računa."
"Your Name", "Vaše ime"
"Name of account handler or parent", "Ime upravitelja računa ili roditelja"
"Email Address", "Email adresa"
"We will send updates and analytics", "Poslat ćemo ažuriranja i analitiku"
"Account ID", "ID računa"
"This is an unchangeable ID we might ask from you", "Ovo je nepromjenjivi ID koji bismo mogli zatražiti od vas"
"Language", "Jezik"
"Choose the language for app interface and assistive cards", "Odaberite jezik za sučelje aplikacije i pomoćne kartice"
"Based On Your Device", "Prema vašem uređaju"
"Languages from your native settings", "Jezici iz vaših izvornih postavki"
"Supported Languages", "Podržani jezici"
"All the languages that assistive cards support", "Svi jezici koje podržavaju pomoćne kartice"
"Text-to-Speech Voice", "Glas za pretvaranje teksta u govor"
"Select the text-to-speech voice driver", "Odaberite upravljački program glasa za pretvaranje teksta u govor"
"Based On Your Location", "Prema vašoj lokaciji"
"Voice drivers that match with both your language and location", "Upravljački programi glasa koji odgovaraju vašem jeziku i lokaciji"
"All Supported Voice Drivers", "Svi podržani upravljački programi glasa"
"List of all accents and supported voice drivers for your language", "Popis svih naglasaka i podržanih upravljačkih programa glasa za vaš jezik"
"Notifications", "Obavijesti"
"Choose when and why you would like to be notified by the app", "Odaberite kada i zašto želite primati obavijesti od aplikacije"
"Reminders", "Podsjetnici"
"We will remind you to use and practice the app", "Podsjetit ćemo vas da koristite i vježbate s aplikacijom"
"Daily Reminders", "Dnevni podsjetnici"
"We will send you reminder to practice daily", "Svakodnevno ćemo vam slati podsjetnik za vježbanje"
"Weekly Reminders", "Tjedni podsjetnici"
"We will send you reminder to practice weekly", "Tjedno ćemo vam slati podsjetnik za vježbanje"
"Tips & Promotions", "Savjeti i promocije"
"Decide if you like us to send you tips for using the app or new promotions", "Odlučite želite li da vam šaljemo savjete za korištenje aplikacije ili nove promocije"
"Usability Tips", "Savjeti za korištenje"
"How to effectively use the app", "Kako učinkovito koristiti aplikaciju"
"Promotions", "Promocije"
"Let us notify you when we have a discount for the subscription", "Obavijestit ćemo vas kada imamo popust na pretplatu"
"Subscriptions", "Pretplate"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Upravljajte svojim pretplatama i Leeloo Premium kupnjama te mijenjajte planove."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Za otkazivanje pretplate, idite u postavke i pretplate vašeg uređaja ili trgovine."
"You can't downgrade your lifetime premium subscription.", "Ne možete sniziti razinu svoje doživotne premium pretplate."
"One-time payment", "Jednokratno plaćanje"
"Recurring payment", "Ponavljajuće plaćanje"
"Sign Out", "Odjava"
"Send Feedback", "Pošalji povratne informacije"
"Open Source Licenses", "Licence otvorenog koda"
"Privacy Policy", "Politika privatnosti"
"Terms of Service", "Uvjeti korištenja"
"Remove My Data", "Ukloni moje podatke"
"Learn how we collect data and ask us to remove the collected data", "Saznajte kako prikupljamo podatke i zatražite nas da uklonimo prikupljene podatke"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Ne prikupljamo osobne identifikacijske podatke (PII) za djecu, maloljetnike ili korisnike s intelektualnim poteškoćama koji imaju imenovane skrbnike."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "Prema smjernicama Zakona o zaštiti privatnosti djece na internetu (COPPA), možete zatražiti da uklonimo sve vaše ili anonimne podatke vašeg djeteta kad god želite."
"To learn more, read our Privacy Policy in the previous menu.", "Za više informacija, pročitajte našu Politiku privatnosti u prethodnom izborniku."
